                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7749,                   3.82,                 1.3756,                0.00652,                0.49549,                0.16601,                0.09388,                 1.3297,                 3.4611,                 1.0841,             0.00024941,             0.00024941,             0.00024941
                      2,                  1.479,                 2.2557,                 1.1672,                0.95216,                0.08881,                0.37227,                0.21766,                 1.3343,                 2.7216,                 1.1117,             0.00049573,             0.00049573,             0.00049573
                      3,                 1.3938,                  1.775,                 1.1488,                0.72622,                0.49986,                0.49397,                0.27508,                 1.3207,                 1.5967,                 1.1349,             0.00073189,             0.00073189,             0.00073189
                      4,                 1.3792,                 1.6666,                 1.1497,                0.77879,                0.58488,                0.59099,                0.34363,                 1.3248,                 1.2641,                 1.1504,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.3496,                 1.5355,                 1.1421,                0.75402,                0.60966,                0.61302,                0.35154,                 1.3119,                 1.0652,                 1.1321,              0.0007081,              0.0007081,              0.0007081
                      6,                  1.308,                 1.6209,                 1.1079,                0.75258,                0.64289,                0.62489,                0.37172,                 1.2892,                 1.0323,                 1.1426,             0.00069287,             0.00069287,             0.00069287
                      7,                 1.3269,                 1.3829,                 1.1302,                0.75822,                0.63406,                0.64043,                0.37741,                 1.2736,                 1.0187,                 1.1052,             0.00067764,             0.00067764,             0.00067764
                      8,                 1.2884,                 1.3145,                  1.101,                0.79934,                0.66286,                0.64392,                0.38365,                 1.2702,                0.94764,                 1.1221,             0.00066242,             0.00066242,             0.00066242
                      9,                 1.3177,                 1.2777,                 1.1134,                0.79192,                0.61156,                0.63593,                0.38312,                 1.2647,                 0.9667,                  1.134,             0.00064719,             0.00064719,             0.00064719
                     10,                  1.265,                 1.2644,                 1.0962,                0.82319,                 0.6709,                0.65722,                0.38789,                 1.2702,                0.88342,                 1.1298,             0.00063196,             0.00063196,             0.00063196
                     11,                 1.2944,                  1.185,                 1.1223,                0.79148,                0.67009,                0.66478,                0.40939,                 1.2396,                0.86946,                 1.1022,             0.00061674,             0.00061674,             0.00061674
                     12,                 1.3085,                 1.1806,                  1.136,                0.67325,                0.68088,                0.66992,                0.40859,                 1.2534,                0.88757,                 1.1164,             0.00060151,             0.00060151,             0.00060151
                     13,                 1.2839,                 1.1731,                 1.1256,                0.83995,                0.69307,                0.68819,                0.42145,                 1.2502,                0.85273,                 1.1096,             0.00058629,             0.00058629,             0.00058629
                     14,                 1.2289,                 1.1757,                 1.0558,                0.73622,                0.68041,                0.68299,                0.42383,                   1.21,                0.80385,                 1.0991,             0.00057106,             0.00057106,             0.00057106
                     15,                 1.2571,                  1.101,                 1.1021,                0.71096,                 0.6756,                 0.6671,                0.41489,                 1.2012,                0.79697,                 1.0871,             0.00055583,             0.00055583,             0.00055583
                     16,                 1.2588,                 1.0692,                 1.0861,                0.85147,                0.68656,                0.68921,                0.43886,                 1.1865,                0.79574,                 1.0734,             0.00054061,             0.00054061,             0.00054061
                     17,                 1.2123,                 1.0951,                 1.0545,                0.72644,                0.69323,                0.69232,                0.43399,                 1.2237,                 0.7693,                 1.1076,             0.00052538,             0.00052538,             0.00052538
                     18,                 1.2429,                 1.0088,                 1.0807,                0.74173,                0.69585,                0.69005,                 0.4294,                 1.2437,                0.75146,                 1.1375,             0.00051015,             0.00051015,             0.00051015
                     19,                 1.2686,                 1.0129,                  1.092,                0.73099,                 0.7002,                0.69038,                0.42566,                 1.2661,                0.79618,                 1.1118,             0.00049493,             0.00049493,             0.00049493
                     20,                 1.2208,                0.97798,                 1.0707,                0.74855,                0.70891,                0.70229,                0.45155,                 1.1974,                0.76176,                 1.1004,              0.0004797,              0.0004797,              0.0004797
                     21,                 1.2344,                0.97318,                 1.0937,                0.73762,                0.69632,                0.69334,                0.44666,                 1.1681,                0.71594,                 1.0722,             0.00046448,             0.00046448,             0.00046448
                     22,                 1.1976,                 0.9482,                 1.0748,                0.73337,                0.71298,                0.70167,                0.44763,                 1.1689,                0.72831,                 1.0602,             0.00044925,             0.00044925,             0.00044925
                     23,                  1.195,                0.93485,                  1.075,                0.76387,                0.69616,                0.71853,                  0.472,                 1.1408,                0.69382,                 1.0613,             0.00043402,             0.00043402,             0.00043402
                     24,                  1.171,                0.87703,                 1.0618,                0.76856,                0.71058,                0.71841,                0.46972,                 1.1486,                0.70712,                 1.0601,              0.0004188,              0.0004188,              0.0004188
                     25,                 1.1827,                0.87232,                 1.0597,                0.74209,                0.70989,                 0.7148,                0.46994,                  1.138,                0.67717,                 1.0528,             0.00040357,             0.00040357,             0.00040357
                     26,                 1.1884,                0.87954,                  1.092,                0.74931,                0.72435,                0.72017,                0.47226,                  1.166,                0.68784,                  1.076,             0.00038835,             0.00038835,             0.00038835
                     27,                 1.1852,                0.86786,                 1.0622,                0.77878,                0.72481,                0.72436,                0.47584,                 1.1757,                0.66834,                 1.0974,             0.00037312,             0.00037312,             0.00037312
